Tree	Tree_taxa	RefTree_taxa	Common_taxa	R-F	R-F_toYuleAvg	R-F_toUnifAvg
583	64	64	64	60.5000	0.9953	0.9937
584	64	64	64	60.5000	0.9953	0.9937
585	64	64	64	60.5000	0.9953	0.9937
586	64	64	64	60.5000	0.9953	0.9937
587	64	64	64	58.5000	0.9624	0.9609
588	64	64	64	60.5000	0.9953	0.9937
589	64	64	64	60.5000	0.9953	0.9937
590	64	64	64	60.5000	0.9953	0.9937
591	64	64	64	60.5000	0.9953	0.9937
592	64	64	64	60.5000	0.9953	0.9937
593	64	64	64	60.5000	0.9953	0.9937
594	64	64	64	60.5000	0.9953	0.9937
595	64	64	64	60.5000	0.9953	0.9937
596	64	64	64	60.5000	0.9953	0.9937
