Tree	Tree_taxa	RefTree_taxa	Common_taxa	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
437	64	64	64	552.0000	1.1097	0.7707
438	64	64	64	538.0000	1.0816	0.7512
439	64	64	64	564.0000	1.1338	0.7875
440	64	64	64	522.0000	1.0494	0.7289
441	64	64	64	502.0000	1.0092	0.7009
442	64	64	64	568.0000	1.1419	0.7931
443	64	64	64	559.0000	1.1238	0.7805
444	64	64	64	589.0000	1.1841	0.8224
445	64	64	64	517.0000	1.0393	0.7219
446	64	64	64	550.0000	1.1057	0.7680
447	64	64	64	570.0000	1.1459	0.7959
448	64	64	64	539.0000	1.0836	0.7526
449	64	64	64	542.0000	1.0896	0.7568
450	64	64	64	486.0000	0.9770	0.6786
451	64	64	64	535.0000	1.0755	0.7470
452	64	64	64	610.0000	1.2263	0.8517
453	64	64	64	518.0000	1.0413	0.7233
454	64	64	64	554.0000	1.1137	0.7735
455	64	64	64	555.0000	1.1157	0.7749
456	64	64	64	516.0000	1.0373	0.7205
457	64	64	64	547.0000	1.0996	0.7638
458	64	64	64	533.0000	1.0715	0.7442
459	64	64	64	548.0000	1.1017	0.7652
460	64	64	64	551.0000	1.1077	0.7693
461	64	64	64	481.0000	0.9670	0.6716
462	64	64	64	551.0000	1.1077	0.7693
463	64	64	64	555.0000	1.1157	0.7749
464	64	64	64	517.0000	1.0393	0.7219
465	64	64	64	562.0000	1.1298	0.7847
466	64	64	64	562.0000	1.1298	0.7847
467	64	64	64	520.0000	1.0454	0.7261
468	64	64	64	537.0000	1.0795	0.7498
469	64	64	64	554.0000	1.1137	0.7735
470	64	64	64	518.0000	1.0413	0.7233
471	64	64	64	552.0000	1.1097	0.7707
472	64	64	64	568.0000	1.1419	0.7931
473	64	64	64	535.0000	1.0755	0.7470
474	64	64	64	519.0000	1.0434	0.7247
475	64	64	64	535.0000	1.0755	0.7470
476	64	64	64	511.0000	1.0273	0.7135
477	64	64	64	541.0000	1.0876	0.7554
478	64	64	64	531.0000	1.0675	0.7414
479	64	64	64	533.0000	1.0715	0.7442
480	64	64	64	528.0000	1.0614	0.7372
481	64	64	64	528.0000	1.0614	0.7372
482	64	64	64	571.0000	1.1479	0.7973
483	64	64	64	539.0000	1.0836	0.7526
484	64	64	64	585.0000	1.1760	0.8168
485	64	64	64	549.0000	1.1037	0.7666
